ap,signal,x,y,z
A,14.0,0.0,0.0,1.0
A,16.58,4.38,0.0,1.0
A,16.58,8.75,0.0,1.0
A,16.58,13.12,0.0,1.0
A,16.58,17.5,0.0,1.0
A,16.58,21.88,0.0,1.0
A,16.58,26.25,0.0,1.0
A,16.58,30.62,0.0,1.0
A,16.58,35.0,0.0,1.0
A,16.01,0.0,5.62,1.0
A,16.58,4.38,5.62,1.0
A,16.58,8.75,5.62,1.0
A,16.58,13.12,5.62,1.0
A,16.58,17.5,5.62,1.0
A,16.58,21.88,5.62,1.0
A,16.58,26.25,5.62,1.0
A,16.58,30.62,5.62,1.0
A,16.58,35.0,5.62,1.0
A,14.79,0.0,11.25,1.0
A,16.58,4.38,11.25,1.0
A,16.58,8.75,11.25,1.0
A,16.58,13.12,11.25,1.0
A,16.58,17.5,11.25,1.0
A,16.58,21.88,11.25,1.0
A,16.58,26.25,11.25,1.0
A,16.58,30.62,11.25,1.0
A,16.58,35.0,11.25,1.0
A,16.8,0.0,16.88,1.0
A,14.85,4.38,16.88,1.0
A,16.0,8.75,16.88,1.0
A,12.33,13.12,16.88,1.0
A,10.08,17.5,16.88,1.0
A,16.58,21.88,16.88,1.0
A,16.58,26.25,16.88,1.0
A,16.58,30.62,16.88,1.0
A,16.58,35.0,16.88,1.0
A,18.08,0.0,22.5,1.0
A,16.69,4.38,22.5,1.0
A,16.58,8.75,22.5,1.0
A,16.58,13.12,22.5,1.0
A,16.58,17.5,22.5,1.0
A,15.94,21.88,22.5,1.0
A,16.58,26.25,22.5,1.0
A,16.58,30.62,22.5,1.0
A,16.58,35.0,22.5,1.0
A,16.6,0.0,28.12,1.0
A,16.62,4.38,28.12,1.0
A,16.58,8.75,28.12,1.0
A,16.58,13.12,28.12,1.0
A,16.58,17.5,28.12,1.0
A,15.38,21.88,28.12,1.0
A,16.58,26.25,28.12,1.0
A,16.58,30.62,28.12,1.0
A,16.58,35.0,28.12,1.0
A,29.81,0.0,33.75,1.0
A,16.58,4.38,33.75,1.0
A,16.58,8.75,33.75,1.0
A,16.58,13.12,33.75,1.0
A,16.58,17.5,33.75,1.0
A,16.57,21.88,33.75,1.0
A,16.58,26.25,33.75,1.0
A,16.2,30.62,33.75,1.0
A,16.58,35.0,33.75,1.0
A,16.63,0.0,39.38,1.0
A,16.82,4.38,39.38,1.0
A,16.58,8.75,39.38,1.0
A,16.62,13.12,39.38,1.0
A,16.45,17.5,39.38,1.0
A,15.4,21.88,39.38,1.0
A,16.58,26.25,39.38,1.0
A,16.58,30.62,39.38,1.0
A,16.58,35.0,39.38,1.0
A,16.59,0.0,45.0,1.0
A,16.58,4.38,45.0,1.0
A,16.58,8.75,45.0,1.0
A,16.58,13.12,45.0,1.0
A,16.58,17.5,45.0,1.0
A,16.58,21.88,45.0,1.0
A,16.58,26.25,45.0,1.0
A,16.58,30.62,45.0,1.0
